"individual_id","ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs2q01","cs2q03","cs2q04","cs2q05_a","cs2q05_b","cs2q06","cs2q07"
"0102010020701","01020100207",1,1,2,1,8,88,2,7,1,1,48,1,,48,3
"0102010020702","01020100207",1,1,2,1,8,88,2,7,2,1,28,11,,2,4
"0102010020703","01020100207",1,1,2,1,8,88,2,7,3,1,25,10,,2,4
"0102010020704","01020100207",1,1,2,1,8,88,2,7,4,1,39,8,,39,2
"0102010020705","01020100207",1,1,2,1,8,88,2,7,5,2,30,2,,30,4
"0102010020706","01020100207",1,1,2,1,8,88,2,7,6,1,54,3,,54,2
"0102020080201","01020200802",1,1,2,2,8,88,8,2,1,1,57,1,,57,3
"0102020080202","01020200802",1,1,2,2,8,88,8,2,2,1,32,2,,32,4
"0102020080203","01020200802",1,1,2,2,8,88,8,2,3,1,26,10,,4,4
"0102020080204","01020200802",1,1,2,2,8,88,8,2,4,2,25,7,,4,4
"0102020080205","01020200802",1,1,2,2,8,88,8,2,5,1,38,5,,4,4
"0102020080206","01020200802",1,1,2,2,8,88,8,2,6,1,59,3,,59,2
"0102030100101","01020301001",1,1,2,3,8,88,10,1,1,1,25,6,2,2,4
"0102030100102","01020301001",1,1,2,3,8,88,10,1,2,1,83,3,,83,3
"0102030100103","01020301001",1,1,2,3,8,88,10,1,3,1,26,10,,1,4
"0102030100104","01020301001",1,1,2,3,8,88,10,1,4,1,41,1,,41,3
"0102030100105","01020301001",1,1,2,3,8,88,10,1,5,2,40,2,,40,3
"0102030100106","01020301001",1,1,2,3,8,88,10,1,6,2,22,7,,1,4
"0102030100107","01020301001",1,1,2,3,8,88,10,1,7,1,32,4,2,1,4
"0102040170201","01020401702",1,1,2,4,8,88,17,2,1,1,31,6,,2,4
"0102040170202","01020401702",1,1,2,4,8,88,17,2,2,1,39,1,,39,4
"0102040170203","01020401702",1,1,2,4,8,88,17,2,3,1,26,6,,2,4
"0102040170204","01020401702",1,1,2,4,8,88,17,2,4,1,45,11,,39,3
"0102040170205","01020401702",1,1,2,4,8,88,17,2,5,2,24,7,,6,4
"0102040170206","01020401702",1,1,2,4,8,88,17,2,6,2,27,5,,4,4
"0102040170207","01020401702",1,1,2,4,8,88,17,2,7,1,65,6,,65,2
"0102040170208","01020401702",1,1,2,4,8,88,17,2,8,1,29,2,,29,3
"0102060130101","01020601301",1,1,2,6,8,88,13,1,1,1,28,6,,2,4
"0102060130102","01020601301",1,1,2,6,8,88,13,1,2,1,38,4,11,5,4
"0102060130103","01020601301",1,1,2,6,8,88,13,1,3,1,32,10,,2,4
"0102060130104","01020601301",1,1,2,6,8,88,13,1,4,1,44,1,,42,3
"0102060130105","01020601301",1,1,2,6,8,88,13,1,5,2,25,7,,19,4
"0102060130106","01020601301",1,1,2,6,8,88,13,1,6,2,40,2,11,40,2
"0102060130107","01020601301",1,1,2,6,8,88,13,1,7,1,35,8,,10,2
"0102070010101","01020700101",0,1,2,7,8,88,1,1,1,1,29,1,,8,4
"0102070010102","01020700101",0,1,2,7,8,88,1,1,2,1,35,9,,7,4
"0102070010103","01020700101",0,1,2,7,8,88,1,1,3,2,40,7,,7,4
"0102070010104","01020700101",0,1,2,7,8,88,1,1,4,1,28,10,,4,4
"0102070010105","01020700101",0,1,2,7,8,88,1,1,5,2,30,8,,8,1
"0102070010106","01020700101",0,1,2,7,8,88,1,1,6,1,40,11,,9,4
"0102070010107","01020700101",0,1,2,7,8,88,1,1,7,1,49,3,,8,1
"0102070010108","01020700101",0,1,2,7,8,88,1,1,8,1,25,5,,1,4
"0102080060301","01020800603",1,1,2,8,8,88,6,3,1,1,23,1,,2,4
"0102080060302","01020800603",1,1,2,8,8,88,6,3,2,1,26,4,,1,4
"0102080060303","01020800603",1,1,2,8,8,88,6,3,3,1,27,6,,1,4
"0102080060304","01020800603",1,1,2,8,8,88,6,3,4,1,50,3,,50,3
"0102080060305","01020800603",1,1,2,8,8,88,6,3,5,1,52,9,,52,3
"0102080060306","01020800603",1,1,2,8,8,88,6,3,6,1,45,10,,25,2
"0102080060307","01020800603",1,1,2,8,8,88,6,3,7,1,38,7,,32,4
"0102080060308","01020800603",1,1,2,8,8,88,6,3,8,1,32,2,,32,4
"0102080060309","01020800603",1,1,2,8,8,88,6,3,9,1,45,8,,45,3
"0102090060201","01020900602",1,1,2,9,8,88,6,2,1,1,47,1,,47,4
"0102090060202","01020900602",1,1,2,9,8,88,6,2,2,1,45,4,,3,4
"0102090060203","01020900602",1,1,2,9,8,88,6,2,3,2,37,7,,1,4
"0102090060204","01020900602",1,1,2,9,8,88,6,2,4,1,31,6,,3,4
"0102090060205","01020900602",1,1,2,9,8,88,6,2,5,1,56,3,,35,2
"0103010020401","01030100204",1,1,3,1,8,88,2,4,1,1,38,1,,38,3
"0103010020402","01030100204",1,1,3,1,8,88,2,4,2,1,47,1,1,47,4
"0103010020403","01030100204",1,1,3,1,8,88,2,4,3,2,28,2,,28,3
"0103010020404","01030100204",1,1,3,1,8,88,2,4,4,1,42,4,,1,4
"0103010020405","01030100204",1,1,3,1,8,88,2,4,5,1,32,6,,3,4
"0103030060501","01030300605",1,1,3,3,8,88,6,5,1,1,23,1,1,1,4
"0103030060502","01030300605",1,1,3,3,8,88,6,5,2,2,30,1,2,30,1
"0103030060503","01030300605",1,1,3,3,8,88,6,5,3,2,35,2,5,3,4
"0103030060504","01030300605",1,1,3,3,8,88,6,5,4,2,25,6,,1,4
"0103030060505","01030300605",1,1,3,3,8,88,6,5,5,1,23,7,,2,4
"0103040010501","01030400101",1,1,3,4,8,88,1,1,1,2,25,6,,2,4
"0103040010502","01030400101",1,1,3,4,8,88,1,1,2,1,51,1,,51,2
"0103040010503","01030400101",1,1,3,4,8,88,1,1,3,1,27,2,,27,4
"0103040010504","01030400101",1,1,3,4,8,88,1,1,4,1,54,4,,54,2
"0103040010505","01030400101",1,1,3,4,8,88,1,1,5,2,25,7,,25,4
"0103040010506","01030400101",1,1,3,4,8,88,1,1,6,2,41,9,,41,1
"0103040010507","01030400101",1,1,3,4,8,88,1,1,7,2,38,11,,5,3
"0103040010508","01030400101",1,1,3,4,8,88,1,1,8,1,24,6,,21,4
"0103050120201","01030501202",1,1,3,5,8,88,12,2,1,1,46,1,,46,2
"0103050120202","01030501202",1,1,3,5,8,88,12,2,2,2,27,7,,6,4
"0103050120203","01030501202",1,1,3,5,8,88,12,2,3,1,27,4,,1,4
"0103050120204","01030501202",1,1,3,5,8,88,12,2,4,1,42,11,,42,4
"0103050120205","01030501202",1,1,3,5,8,88,12,2,5,2,27,6,,1,4
"0103050120206","01030501202",1,1,3,5,8,88,12,2,6,1,55,3,,55,1
"0103060060801","01030600608",1,1,3,6,8,88,6,8,1,1,49,1,,49,3
"0103060060802","01030600608",1,1,3,6,8,88,6,8,2,2,55,2,,55,3
"0103060060803","01030600608",1,1,3,6,8,88,6,8,3,1,38,4,,6,4
"0103060060804","01030600608",1,1,3,6,8,88,6,8,4,1,30,6,,30,4
"0103060060805","01030600608",1,1,3,6,8,88,6,8,5,2,25,7,,25,3
"0103070011601","01030700116",0,1,3,7,1,0,1,16,1,1,52,1,1,52,3
"0103070011602","01030700116",0,1,3,7,1,0,1,16,2,1,38,10,2,20,4
"0103070011603","01030700116",0,1,3,7,1,0,1,16,3,1,29,2,,10,3
"0103070011604","01030700116",0,1,3,7,1,0,1,16,4,2,25,2,,25,3
"0103070011605","01030700116",0,1,3,7,1,0,1,16,5,2,28,7,,28,4
"0103070011606","01030700116",0,1,3,7,1,0,1,16,6,1,40,4,,1,4
"0103070011607","01030700116",0,1,3,7,1,0,1,16,7,1,32,10,,32,4
"0103070070901","01030700709",1,1,3,7,8,88,7,9,1,1,36,1,,9,4
"0103070070902","01030700709",1,1,3,7,8,88,7,9,2,2,30,7,,30,4
"0103070070903","01030700709",1,1,3,7,8,88,7,9,3,1,72,3,,50,1
"0103070070904","01030700709",1,1,3,7,8,88,7,9,4,1,32,4,,4,4
"0103070070905","01030700709",1,1,3,7,8,88,7,9,5,1,29,6,,5,4
"0104010120401","01040101204",1,1,4,1,8,88,12,4,1,1,34,6,,1,4
"0104010120402","01040101204",1,1,4,1,8,88,12,4,2,1,70,11,,70,1
"0104010120403","01040101204",1,1,4,1,8,88,12,4,3,1,50,10,,50,2
"0104010120404","01040101204",1,1,4,1,8,88,12,4,4,1,24,2,,24,3
"0104010120405","01040101204",1,1,4,1,8,88,12,4,5,1,47,3,,47,1
"0104010120406","01040101204",1,1,4,1,8,88,12,4,6,2,24,7,,6,4
"0104010120407","01040101204",1,1,4,1,8,88,12,4,7,1,26,4,,3,5
"0104010120408","01040101204",1,1,4,1,8,88,12,4,8,1,29,1,,25,4
"0104030010901","01040300109",0,1,4,3,1,0,1,9,1,1,38,1,,28,3
"0104030010902","01040300109",0,1,4,3,1,0,1,9,2,1,42,11,9,28,3
"0104030010903","01040300109",0,1,4,3,1,0,1,9,3,1,55,3,11,40,2
"0104030010904","01040300109",0,1,4,3,1,0,1,9,4,2,35,7,,35,4
"0104030010905","01040300109",0,1,4,3,1,0,1,9,5,1,29,6,,6,4
"0104030010906","01040300109",0,1,4,3,1,0,1,9,6,2,55,2,,10,2
"0104030010907","01040300109",0,1,4,3,1,0,1,9,7,1,60,3,11,60,2
"0104030010908","01040300109",0,1,4,3,1,0,1,9,8,1,38,10,,4,3
"0104030010909","01040300109",0,1,4,3,1,0,1,9,9,1,28,8,,28,3
"0104030010910","01040300109",0,1,4,3,1,0,1,9,10,1,26,5,,24,4
"0104030040401","01040300404",1,1,4,3,8,88,4,4,1,1,39,1,,39,3
"0104030040402","01040300404",1,1,4,3,8,88,4,4,2,1,42,10,,42,2
"0104030040403","01040300404",1,1,4,3,8,88,4,4,3,1,57,11,3,57,2
"0104030040404","01040300404",1,1,4,3,8,88,4,4,4,2,43,2,,43,2
"0104030040405","01040300404",1,1,4,3,8,88,4,4,5,1,42,9,,42,2
"0104030040406","01040300404",1,1,4,3,8,88,4,4,6,1,35,8,,35,2
"0104030040407","01040300404",1,1,4,3,8,88,4,4,7,1,30,6,,2,4
"0104030040408","01040300404",1,1,4,3,8,88,4,4,8,1,32,4,,2,4
"0104030040409","01040300404",1,1,4,3,8,88,4,4,9,2,28,7,,1,4
"0104030040410","01040300404",1,1,4,3,8,88,4,4,10,1,30,10,,1,4
"0104040010301","01040400103",1,1,4,4,8,88,1,3,1,1,23,1,,1,4
"0104040010302","01040400103",1,1,4,4,8,88,1,3,2,2,42,2,,35,2
"0104040010303","01040400103",1,1,4,4,8,88,1,3,3,1,50,3,,50,2
"0104040010304","01040400103",1,1,4,4,8,88,1,3,4,1,30,4,,3,4
"0104040010305","01040400103",1,1,4,4,8,88,1,3,5,1,28,6,,3,4
"0104040010306","01040400103",1,1,4,4,8,88,1,3,6,2,26,7,,1,4
"0104040010307","01040400103",1,1,4,4,8,88,1,3,7,1,38,9,,38,4
"0104040010308","01040400103",1,1,4,4,8,88,1,3,8,1,36,10,,36,3
"0104050070101","01040500701",1,1,4,5,8,88,7,1,1,1,36,1,,36,2
"0104050070102","01040500701",1,1,4,5,8,88,7,1,2,1,32,11,,32,3
"0104050070103","01040500701",1,1,4,5,8,88,7,1,3,1,30,2,,30,2
"0104050070104","01040500701",1,1,4,5,8,88,7,1,4,1,39,5,,1,4
"0104050070105","01040500701",1,1,4,5,8,88,7,1,5,1,32,6,,4,4
"0104050070106","01040500701",1,1,4,5,8,88,7,1,6,2,26,7,,5,4
"0104050070107","01040500701",1,1,4,5,8,88,7,1,7,1,27,10,,1,4
"0104060080301","01040600803",1,1,4,6,8,88,8,3,1,1,28,7,,3,4
"0104060080302","01040600803",1,1,4,6,8,88,8,3,2,2,30,2,,12,3
"0104060080303","01040600803",1,1,4,6,8,88,8,3,3,1,38,1,,38,3
"0104060080304","01040600803",1,1,4,6,8,88,8,3,4,2,28,6,,1,4
"0104060080305","01040600803",1,1,4,6,8,88,8,3,5,1,32,8,,32,4
"0104060080306","01040600803",1,1,4,6,8,88,8,3,6,1,39,6,,7,4
"0104060080307","01040600803",1,1,4,6,8,88,8,3,7,1,25,10,,1,3
"0104060080308","01040600803",1,1,4,6,8,88,8,3,8,1,36,9,,36,3
"0104080040201","01040800402",1,1,4,8,8,88,4,2,1,1,42,1,,42,3
"0104080040202","01040800402",1,1,4,8,8,88,4,2,2,1,24,6,,24,4
"0104080040203","01040800402",1,1,4,8,8,88,4,2,3,1,29,2,,29,4
"0104080040204","01040800402",1,1,4,8,8,88,4,2,4,1,26,5,,4,4
"0104080040205","01040800402",1,1,4,8,8,88,4,2,5,2,25,7,,1,4
"0104080040206","01040800402",1,1,4,8,8,88,4,2,6,1,40,11,,40,1
"0104080040207","01040800402",1,1,4,8,8,88,4,2,7,1,35,11,,35,3
"0105010010501","01050100105",1,1,5,1,8,88,1,5,1,1,42,1,,15,3
"0105010010502","01050100105",1,1,5,1,8,88,1,5,2,2,53,2,,18,1
"0105010010503","01050100105",1,1,5,1,8,88,1,5,3,1,50,3,,16,2
"0105010010504","01050100105",1,1,5,1,8,88,1,5,4,1,35,4,,8,4
"0105010010505","01050100105",1,1,5,1,8,88,1,5,5,1,27,5,,4,4
"0105010010506","01050100105",1,1,5,1,8,88,1,5,6,1,27,6,,6,4
"0105010010507","01050100105",1,1,5,1,8,88,1,5,7,1,29,7,,2,4
"0105010010508","01050100105",1,1,5,1,8,88,1,5,8,1,36,8,,9,3
"0105010010509","01050100105",1,1,5,1,8,88,1,5,9,1,47,9,,13,2
"0105010010510","01050100105",1,1,5,1,8,88,1,5,10,1,54,10,,6,4
"0105010010511","01050100105",1,1,5,1,8,88,1,5,11,1,28,2,,4,4
"0105020020101","01050200201",1,1,5,2,8,88,2,1,1,2,21,1,,1,4
"0105020020102","01050200201",1,1,5,2,8,88,2,1,2,2,46,2,,46,3
"0105020020103","01050200201",1,1,5,2,8,88,2,1,3,1,47,3,,11,3
"0105020020104","01050200201",1,1,5,2,8,88,2,1,4,1,34,4,,3,4
"0105020020105","01050200201",1,1,5,2,8,88,2,1,5,1,27,5,,2,4
"0105020020106","01050200201",1,1,5,2,8,88,2,1,6,1,28,6,,0,4
"0105020020107","01050200201",1,1,5,2,8,88,2,1,7,2,23,7,,2,4
"0105020020108","01050200201",1,1,5,2,8,88,2,1,8,1,40,8,,8,3
"0105020020109","01050200201",1,1,5,2,8,88,2,1,9,1,42,9,,12,3
"0105020020110","01050200201",1,1,5,2,8,88,2,1,10,1,33,10,,33,4
"0105020020111","01050200201",1,1,5,2,8,88,2,1,11,1,44,2,,7,2
"0105020071201","01050200712",1,1,5,2,8,88,7,12,1,1,27,1,,15,4
"0105020071202","01050200712",1,1,5,2,8,88,7,12,2,2,30,2,,17,1
"0105020071203","01050200712",1,1,5,2,8,88,7,12,3,1,62,3,,26,2
"0105020071204","01050200712",1,1,5,2,8,88,7,12,4,2,29,4,,2,4
"0105020071205","01050200712",1,1,5,2,8,88,7,12,5,1,28,5,,2,4
"0105020071206","01050200712",1,1,5,2,8,88,7,12,6,1,22,6,,1,4
"0105020071207","01050200712",1,1,5,2,8,88,7,12,7,1,25,7,,1,4
"0105020071208","01050200712",1,1,5,2,8,88,7,12,8,1,26,8,,6,2
"0105020071209","01050200712",1,1,5,2,8,88,7,12,9,1,35,9,,9,3
"0105020071210","01050200712",1,1,5,2,8,88,7,12,10,1,21,10,,1,4
"0105020071211","01050200712",1,1,5,2,8,88,7,12,11,1,38,9,,30,2
"0105020150301","01050201503",1,1,5,2,8,88,15,3,1,1,27,1,,2,4
"0105020150302","01050201503",1,1,5,2,8,88,15,3,2,2,32,2,,32,3
"0105020150303","01050201503",1,1,5,2,8,88,15,3,3,1,69,3,,13,3
"0105020150304","01050201503",1,1,5,2,8,88,15,3,4,1,30,4,,2,4
"0105020150305","01050201503",1,1,5,2,8,88,15,3,5,1,28,5,,16,4
"0105020150306","01050201503",1,1,5,2,8,88,15,3,6,1,26,6,,18,4
"0105020150307","01050201503",1,1,5,2,8,88,15,3,7,2,28,7,,1,4
"0105020150308","01050201503",1,1,5,2,8,88,15,3,8,1,32,10,,3,4
"0105020150309","01050201503",1,1,5,2,8,88,15,3,9,1,25,8,,13,2
"0105030150101","01050301501",1,1,5,3,8,88,15,1,1,1,24,1,,4,4
"0105030150102","01050301501",1,1,5,3,8,88,15,1,2,1,33,2,,6,2
"0105030150103","01050301501",1,1,5,3,8,88,15,1,3,1,77,3,,7,1
"0105030150104","01050301501",1,1,5,3,8,88,15,1,4,1,30,4,,2,4
"0105030150105","01050301501",1,1,5,3,8,88,15,1,5,1,25,5,,1,4
"0105030150106","01050301501",1,1,5,3,8,88,15,1,6,1,26,6,,6,4
"0105030150107","01050301501",1,1,5,3,8,88,15,1,7,2,27,7,,1,4
"0105030150108","01050301501",1,1,5,3,8,88,15,1,8,1,31,8,,7,3
"0105030150109","01050301501",1,1,5,3,8,88,15,1,9,1,32,9,,9,3
"0105030150110","01050301501",1,1,5,3,8,88,15,1,10,1,29,10,,1,4
"0105030230401","01050302304",1,1,5,3,8,88,23,4,1,1,30,1,,2,4
"0105030230402","01050302304",1,1,5,3,8,88,23,4,2,2,23,2,,3,4
"0105030230403","01050302304",1,1,5,3,8,88,23,4,3,1,65,3,,65,2
"0105030230404","01050302304",1,1,5,3,8,88,23,4,4,1,29,4,,3,4
"0105030230405","01050302304",1,1,5,3,8,88,23,4,5,1,22,5,,3,4
"0105030230406","01050302304",1,1,5,3,8,88,23,4,6,1,20,6,,1,4
"0105030230407","01050302304",1,1,5,3,8,88,23,4,7,1,44,7,,0,4
"0105030230408","01050302304",1,1,5,3,8,88,23,4,8,1,31,8,,29,3
"0105030230409","01050302304",1,1,5,3,8,88,23,4,9,1,32,9,,28,3
"0201020010201","02010200102",0,2,1,2,4,1,1,2,1,1,36,11,,15,4
"0201020010202","02010200102",0,2,1,2,4,1,1,2,2,1,26,11,,26,4
"0201020010203","02010200102",0,2,1,2,4,1,1,2,3,1,21,6,,21,4
"0201020010204","02010200102",0,2,1,2,4,1,1,2,4,1,40,3,,40,3
"0201020010205","02010200102",0,2,1,2,4,1,1,2,5,1,45,3,,45,3
"0201030010201","02010300102",1,2,1,3,8,88,1,2,1,1,38,1,,38,3
"0201030010202","02010300102",1,2,1,3,8,88,1,2,2,1,28,2,,28,3
"0201030010203","02010300102",1,2,1,3,8,88,1,2,3,1,45,3,,45,3
"0201030010204","02010300102",1,2,1,3,8,88,1,2,4,1,34,7,2,6,4
"0201030010205","02010300102",1,2,1,3,8,88,1,2,5,1,40,3,,40,3
"0201030060101","02010300601",1,2,1,3,8,88,6,1,1,1,43,4,,3,4
"0201030060102","02010300601",1,2,1,3,8,88,6,1,2,1,53,2,,40,2
"0201030060103","02010300601",1,2,1,3,8,88,6,1,3,1,22,2,,22,4
"0201030060104","02010300601",1,2,1,3,8,88,6,1,4,1,26,9,,26,3
"0201030060105","02010300601",1,2,1,3,8,88,6,1,5,1,42,1,,42,2
"0201010080201","02010300802",1,2,1,3,8,88,8,2,1,1,30,1,,30,3
"0201010080202","02010300802",1,2,1,3,8,88,8,2,2,1,43,3,,43,2
"0201010080203","02010300802",1,2,1,3,8,88,8,2,3,1,26,5,,6,4
"0201010080204","02010300802",1,2,1,3,8,88,8,2,4,1,26,2,,26,1
"0201010080205","02010300802",1,2,1,3,8,88,8,2,5,2,40,2,,40,1
"0201040020101","02010400201",1,2,1,4,8,88,2,1,1,1,47,1,,37,2
"0201040020102","02010400201",1,2,1,4,8,88,2,1,2,1,33,9,11,23,3
"0201040020103","02010400201",1,2,1,4,8,88,2,1,3,1,36,2,,36,1
"0201040020104","02010400201",1,2,1,4,8,88,2,1,4,1,52,11,3,52,1
"0201040020105","02010400201",1,2,1,4,8,88,2,1,5,1,70,3,,70,1
"0201050040401","02010500404",1,2,1,5,8,88,4,4,1,1,38,1,,38,2
"0201050040402","02010500404",1,2,1,5,8,88,4,4,2,1,52,11,,52,3
"0201050040403","02010500404",1,2,1,5,8,88,4,4,3,1,51,11,,51,2
"0201050040404","02010500404",1,2,1,5,8,88,4,4,4,2,33,2,,33,1
"0201050040405","02010500404",1,2,1,5,8,88,4,4,5,1,53,3,,53,1
"0201050040406","02010500404",1,2,1,5,8,88,4,4,6,1,28,5,,28,3
"0201050040407","02010500404",1,2,1,5,8,88,4,4,7,1,51,3,,51,1
"0201050040408","02010500404",1,2,1,5,8,88,4,4,8,1,32,7,,32,3
"0201050110301","02010501103",1,2,1,5,8,88,11,3,1,1,30,1,,30,1
"0201050110302","02010501103",1,2,1,5,8,88,11,3,2,1,40,11,,40,1
"0201050110303","02010501103",1,2,1,5,8,88,11,3,3,1,35,2,,35,3
"0201050110304","02010501103",1,2,1,5,8,88,11,3,4,1,28,3,,28,2
"0201050110305","02010501103",1,2,1,5,8,88,11,3,5,1,20,2,,20,2
"0201050110306","02010501103",1,2,1,5,8,88,11,3,6,2,21,2,,21,3
"0201060040201","02010600402",1,2,1,6,8,88,4,2,1,1,50,1,,10,2
"0201060040202","02010600402",1,2,1,6,8,88,4,2,2,1,25,7,,25,3
"0201060040203","02010600402",1,2,1,6,8,88,4,2,3,1,21,1,,21,3
"0201060040204","02010600402",1,2,1,6,8,88,4,2,4,1,22,5,,2,4
"0201060040205","02010600402",1,2,1,6,8,88,4,2,5,1,37,1,,37,2
"0203010010101","02030100101",0,2,3,1,1,1,1,1,1,1,40,1,,40,3
"0203010010102","02030100101",0,2,3,1,1,1,1,1,2,1,40,3,,40,1
"0203010010103","02030100101",0,2,3,1,1,1,1,1,3,1,40,3,,40,1
"0203010010104","02030100101",0,2,3,1,1,1,1,1,4,1,30,3,,30,2
"0203010010105","02030100101",0,2,3,1,1,1,1,1,5,1,42,11,,42,2
"0203020010201","02030200102",1,2,3,2,8,88,1,2,1,1,37,1,,37,1
"0203020010202","02030200102",1,2,3,2,8,88,1,2,2,1,26,1,,26,1
"0203020010203","02030200102",1,2,3,2,8,88,1,2,3,1,29,6,,5,4
"0203020010204","02030200102",1,2,3,2,8,88,1,2,4,1,27,2,,27,3
"0203020010205","02030200102",1,2,3,2,8,88,1,2,5,1,38,4,,7,4
"0203020010206","02030200102",1,2,3,2,8,88,1,2,6,1,24,7,,1,4
"0203040060101","02030400601",1,2,3,4,8,88,6,1,1,1,50,1,,50,3
"0203040060102","02030400601",1,2,3,4,8,88,6,1,2,1,36,9,,36,2
"0203040060103","02030400601",1,2,3,4,8,88,6,1,3,2,30,2,,30,1
"0203040060104","02030400601",1,2,3,4,8,88,6,1,4,1,28,5,,3,4
"0203040060105","02030400601",1,2,3,4,8,88,6,1,5,1,19,5,,1,4
"0203040060106","02030400601",1,2,3,4,8,88,6,1,6,1,36,3,,36,1
"0203040060107","02030400601",1,2,3,4,8,88,6,1,7,1,46,3,,46,1
"0203040060108","02030400601",1,2,3,4,8,88,6,1,8,1,20,2,,20,3
"0203060060101","02030600601",1,2,3,6,8,88,6,1,1,1,50,1,,50,1
"0203060060102","02030600601",1,2,3,6,8,88,6,1,2,1,40,3,,40,2
"0203060060103","02030600601",1,2,3,6,8,88,6,1,3,2,20,7,,2,4
"0203060060104","02030600601",1,2,3,6,8,88,6,1,4,1,36,3,,36,2
"0203060060105","02030600601",1,2,3,6,8,88,6,1,5,1,25,5,,25,4
"0203060060106","02030600601",1,2,3,6,8,88,6,1,6,2,50,2,,50,1
"0203060060107","02030600601",1,2,3,6,8,88,6,1,7,1,61,3,,61,2
"0203060060108","02030600601",1,2,3,6,8,88,6,1,8,1,39,3,,39,2
"0203060060109","02030600601",1,2,3,6,8,88,6,1,9,1,45,2,,45,1
"0203060060110","02030600601",1,2,3,6,8,88,6,1,10,1,45,9,,45,2
"0203060060111","02030600601",1,2,3,6,8,88,6,1,11,1,60,9,,60,1
"0301010020401","03010100204",1,3,1,1,8,88,2,4,1,1,24,7,,1,4
"0301010020402","03010100204",1,3,1,1,8,88,2,4,2,1,21,7,,1,3
"0301010020403","03010100204",1,3,1,1,8,88,2,4,3,1,42,2,,26,4
"0301010020404","03010100204",1,3,1,1,8,88,2,4,4,1,51,11,,40,2
