"holder_id","household_id","ea_id","rural","pw","parcel_id","saq01","saq02","saq03","saq04","saq05","saq06","pp_saq07","pp_s2q02","pp_s2q03","pp_s2q04","pp_s2q05_a","pp_s2q05_b","pp_s2q06_a","pp_s2q06_b","pp_s2q07_a","pp_s2q07_b","pp_s2q08","pp_s2q09_a","pp_s2q09_b","pp_s2q10","pp_s2q11","pp_s2q12","pp_s2q13_a","pp_s2q13_b"
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,1,1,1,2,14,3,1,1,5,1,1,4,1995,1,,,,,,,2,500,,,
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,2,1,1,2,14,3,1,1,2,3,,,,,,,600,1,"N01",,,,,,
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,3,1,1,2,14,3,1,1,1,1,1,4,1991,1,,,,,,,2,300,,,
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,4,1,1,2,14,3,1,1,1,3,,,,,,,300,1,"N01",,,,,,
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,5,1,1,2,14,3,1,1,1,3,,,,,,,300,1,"N01",,,,,,
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,6,1,1,2,14,3,1,1,1,3,,,,,,,300,1,"N01",,,,,,
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,7,1,1,2,14,3,1,1,2,1,1,4,1991,1,,,,,,,2,200,,,
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,8,1,1,2,14,3,1,1,1,1,1,5,2000,1,,,,,,,2,100,,,
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,9,1,1,2,14,3,1,1,1,3,,,,,,,200,1,"N01",,,,,,
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,1,1,2,14,3,11,1,7,1,1,5,1979,1,,,,,,,2,800,,,
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,2,1,1,2,14,3,11,1,2,1,1,5,1979,1,,,,,,,2,300,,,
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,1,1,2,14,3,16,1,5,1,1,6,1996,1,,,,,,,2,300,,,
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,2,1,1,2,14,3,16,1,1,3,,,,,,,500,1,"N01",,,,,,
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,3,1,1,2,14,3,16,1,2,3,,,,,,,1000,1,"N01",,,,,,
"0101020140302601","01010201403026","01010201403",1,2607.7529296875,1,1,1,2,14,3,26,1,6,1,2,,,,,,,,,,,1000,,,
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,1,1,1,2,14,3,31,1,4,1,1,5,1998,1,,,,,,,2,1000,,,
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,2,1,1,2,14,3,31,1,1,3,,,,,,,1000,1,"N01",,,,,,
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,3,1,1,2,14,3,31,1,1,3,,,,,,,200,1,"N01",,,,,,
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,4,1,1,2,14,3,31,1,1,3,,,,,,,100,1,"N01",,,,,,
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,5,1,1,2,14,3,31,1,1,3,,,,,,,600,1,"N01",,,,,,
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,6,1,1,2,14,3,31,1,1,3,,,,,,,200,1,"N01",,,,,,
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,1,2,14,3,46,1,6,1,1,5,1991,1,,,,,,,2,300,,,
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,2,1,1,2,14,3,46,1,1,1,1,5,1991,1,,,,,,,2,100,,,
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,3,1,1,2,14,3,46,1,1,3,,,,,,,300,1,"N01",,,,,,
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,4,1,1,2,14,3,46,1,1,1,1,5,1991,1,,,,,,,2,300,,,
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,5,1,1,2,14,3,46,1,1,1,1,5,1991,1,,,,,,,2,300,,,
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,6,1,1,2,14,3,46,1,1,1,1,5,1991,1,,,,,,,2,100,,,
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,7,1,1,2,14,3,46,1,2,1,1,5,1991,1,,,,,,,2,100,,,
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,8,1,1,2,14,3,46,1,1,3,,,,,,,300,1,"N01",,,,,,
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,9,1,1,2,14,3,46,1,2,3,,,,,,,300,1,"N01",,,,,,
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,1,2,14,3,61,1,6,1,1,9,1992,1,,,,,,,2,600,,,
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,2,1,1,2,14,3,61,1,2,1,1,9,1992,1,,,,,,,2,50,,,
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,3,1,1,2,14,3,61,1,3,1,1,9,1992,1,,,,,,,2,50,,,
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,4,1,1,2,14,3,61,1,1,3,,,,,,,500,1,"N01",,,,,,
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,5,1,1,2,14,3,61,1,1,3,,,,,,,500,1,"N01",,,,,,
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,6,1,1,2,14,3,61,1,3,3,,,,,,,150,1,"N01",,,,,,
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,7,1,1,2,14,3,61,1,2,3,,,,,,,180,1,"N01",,,,,,
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,1,2,14,3,91,1,4,2,2,,,,,,,,,,,300,,,
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,2,1,1,2,14,3,91,1,2,2,2,,,,,,,,,,,300,,,
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,3,1,1,2,14,3,91,1,1,3,,,,,,,200,1,"N01",,,,,,
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,4,1,1,2,14,3,91,1,1,3,,,,,,,150,1,"N01",,,,,,
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,5,1,1,2,14,3,91,1,1,3,,,,,,,300,1,"N01",,,,,,
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,6,1,1,2,14,3,91,1,1,3,,,,,,,350,1,"N01",,,,,,
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,7,1,1,2,14,3,91,1,1,1,1,7,1998,1,,,,,,,2,400,,,
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,8,1,1,2,14,3,91,1,2,1,1,7,1999,1,,,,,,,2,550,,,
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,1,1,1,2,14,3,106,1,2,1,1,4,1999,1,,,,,,,2,100,,,
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,2,1,1,2,14,3,106,1,1,1,1,4,1999,1,,,,,,,2,600,,,
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,3,1,1,2,14,3,106,1,1,3,,,,,,,400,1,"N01",,,,,,
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,4,1,1,2,14,3,106,1,2,3,,,,,,,200,1,"N01",,,,,,
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,5,1,1,2,14,3,106,1,2,1,1,4,1999,2,,,,,,,2,200,,,
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,6,1,1,2,14,3,106,1,2,1,1,4,1999,1,,,,,,,2,300,,,
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,7,1,1,2,14,3,106,1,1,3,,,,,,,100,1,"N01",,,,,,
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,8,1,1,2,14,3,106,1,1,3,,,,,,,100,1,"N01",,,,,,
"0101020140313601","01010201403136","01010201403",1,2607.7529296875,1,1,1,2,14,3,136,1,3,1,1,4,1979,1,,,,,,,2,150,,,
"0101020140313601","01010201403136","01010201403",1,2607.7529296875,2,1,1,2,14,3,136,1,1,1,1,4,1979,1,,,,,,,2,150,,,
"0101030010605201","01010300106052","01010300106",0,768.159851074219,1,1,1,3,1,6,52,1,5,11,,,,,,,,,,,,300,,,
"0101030010607601","01010300106076","01010300106",0,768.159851074219,1,1,1,3,1,6,76,1,2,11,,,,,,,,,,,,100,,,
"0101030010611201","01010300106112","01010300106",0,768.159851074219,1,1,1,3,1,6,112,1,1,11,,,,,,,,,,,,500,,,
"0101030010613601","01010300106136","01010300106",0,768.159851074219,1,1,1,3,1,6,136,1,2,1,1,5,1972,1,,,,,,,2,1000,,,
"0101030010613601","01010300106136","01010300106",0,768.159851074219,2,1,1,3,1,6,136,1,3,1,1,3,1967,1,,,,,,,2,1200,,,
"0101030180400401","01010301804004","01010301804",1,3901.22436523438,1,1,1,3,18,4,4,1,11,2,2,,,,,,,,,,,2500,,,
"0101030180400401","01010301804004","01010301804",1,3901.22436523438,2,1,1,3,18,4,4,1,2,2,2,,,,,,,,,,,600,,,
"0101030180401901","01010301804019","01010301804",1,3901.22436523438,1,1,1,3,18,4,19,1,5,1,1,12,1979,1,,,,,,,2,1300,,,
"0101030180401901","01010301804019","01010301804",1,3901.22436523438,2,1,1,3,18,4,19,1,1,1,1,12,1979,1,,,,,,,2,1000,,,
"0101030180401901","01010301804019","01010301804",1,3901.22436523438,3,1,1,3,18,4,19,1,1,1,1,12,1979,1,,,,,,,2,1400,,,
"0101030180403401","01010301804034","01010301804",1,3901.22436523438,1,1,1,3,18,4,34,1,6,1,1,8,1979,1,,,,,,,2,2000,,,
"0101030180403401","01010301804034","01010301804",1,3901.22436523438,2,1,1,3,18,4,34,1,1,1,1,8,1979,1,,,,,,,2,800,,,
"0101030180404901","01010301804049","01010301804",1,3901.22436523438,1,1,1,3,18,4,49,1,6,1,1,9,1979,1,,,,,,,2,1300,,,
"0101030180404901","01010301804049","01010301804",1,3901.22436523438,2,1,1,3,18,4,49,1,1,1,1,9,1979,1,,,,,,,2,300,,,
"0101030180404901","01010301804049","01010301804",1,3901.22436523438,3,1,1,3,18,4,49,1,1,1,1,9,1979,1,,,,,,,2,200,,,
"0101030180406901","01010301804069","01010301804",1,3901.22436523438,1,1,1,3,18,4,69,1,6,2,2,,,,,,,,,,,500,,,
"0101030180406901","01010301804069","01010301804",1,3901.22436523438,2,1,1,3,18,4,69,1,1,2,2,,,,,,,,,,,200,,,
"0101030180408501","01010301804085","01010301804",1,3901.22436523438,1,1,1,3,18,4,85,1,8,1,1,8,1979,1,2,,,,,,2,1500,,,
"0101030180408501","01010301804085","01010301804",1,3901.22436523438,2,1,1,3,18,4,85,1,2,1,1,8,1979,1,2,,,,,,2,800,,,
"0101030180408501","01010301804085","01010301804",1,3901.22436523438,3,1,1,3,18,4,85,1,1,3,,,,,,,600,1,"N01",,2,500,,,
"0101030180410001","01010301804100","01010301804",1,3901.22436523438,1,1,1,3,18,4,100,1,7,1,1,9,1990,1,,,,,,,2,1000,,,
"0101030180410001","01010301804100","01010301804",1,3901.22436523438,2,1,1,3,18,4,100,1,3,1,1,9,1990,1,,,,,,,2,500,,,
"0101030180411501","01010301804115","01010301804",1,3901.22436523438,1,1,1,3,18,4,115,1,13,1,1,8,1979,1,,,,,,,2,1700,,,
"0101030180411501","01010301804115","01010301804",1,3901.22436523438,2,1,1,3,18,4,115,1,1,3,,,,,,,600,1,"N01",,2,2,,,
"0101030180413001","01010301804130","01010301804",1,3901.22436523438,1,1,1,3,18,4,130,1,11,1,1,6,1979,1,,,,,,,2,1200,,,
"0101030180413001","01010301804130","01010301804",1,3901.22436523438,2,1,1,3,18,4,130,1,1,1,1,6,1979,1,,,,,,,2,500,,,
"0101030180414501","01010301804145","01010301804",1,3901.22436523438,1,1,1,3,18,4,145,1,6,1,1,8,1979,1,,,,,,,2,1000,,,
"0101030180414501","01010301804145","01010301804",1,3901.22436523438,2,1,1,3,18,4,145,1,3,1,1,8,1979,1,,,,,,,2,400,,,
"0101030180414501","01010301804145","01010301804",1,3901.22436523438,3,1,1,3,18,4,145,1,1,3,,,,,,,200,1,"N01",,2,2,,,
"0101030180414501","01010301804145","01010301804",1,3901.22436523438,4,1,1,3,18,4,145,1,1,3,,,,,,,250,1,"N01",,2,2,,,
"0101030180414501","01010301804145","01010301804",1,3901.22436523438,5,1,1,3,18,4,145,1,1,3,,,,,,,150,1,"N01",,2,2,,,
"0101050020400101","01010500204001","01010500204",1,3071.13232421875,1,1,1,5,2,4,1,1,6,2,2,,,,,,,,,,,600,,,
"0101050020400101","01010500204001","01010500204",1,3071.13232421875,2,1,1,5,2,4,1,1,1,3,,,,,,300,,1,"N01",,,,,,
"0101050020400101","01010500204001","01010500204",1,3071.13232421875,3,1,1,5,2,4,1,1,1,3,,,,,,2500,,1,"N01",,,,,,
"0101050020400101","01010500204001","01010500204",1,3071.13232421875,4,1,1,5,2,4,1,1,1,3,,,,,,4000,,1,"N01",,,,,,
"0101050020402501","01010500204025","01010500204",1,3071.13232421875,1,1,1,5,2,4,25,1,5,1,1,9,1979,1,,,,,,,2,6000,,,
"0101050020402501","01010500204025","01010500204",1,3071.13232421875,2,1,1,5,2,4,25,1,1,1,1,7,1984,1,,,,,,,2,1500,,,
"0101050020402501","01010500204025","01010500204",1,3071.13232421875,3,1,1,5,2,4,25,1,2,1,1,9,1997,1,,,,,,,2,1000,,,
"0101050020404901","01010500204049","01010500204",1,3071.13232421875,1,1,1,5,2,4,49,1,8,2,2,,,,,,,,,,1,,1,1600,
"0101050020404901","01010500204049","01010500204",1,3071.13232421875,2,1,1,5,2,4,49,1,2,1,1,10,1997,1,2,,,,,,2,4000,,,
"0101050020407301","01010500204073","01010500204",1,3071.13232421875,1,1,1,5,2,4,73,1,9,2,2,,,,,,,,,,,8000,,,
"0101050020407301","01010500204073","01010500204",1,3071.13232421875,2,1,1,5,2,4,73,1,1,2,2,,,,,,,,,,,600,,,
"0101050020409701","01010500204097","01010500204",1,3071.13232421875,1,1,1,5,2,4,97,1,1,4,,,,,,,,,,,,1200,,,
"0101050020409701","01010500204097","01010500204",1,3071.13232421875,2,1,1,5,2,4,97,1,6,3,,,,,,5000,,1,"N01",,,,,,
"0101050020409701","01010500204097","01010500204",1,3071.13232421875,3,1,1,5,2,4,97,1,2,3,,,,,,2600,,1,"N01",,,,,,
"0101050020412101","01010500204121","01010500204",1,3071.13232421875,1,1,1,5,2,4,121,1,9,1,1,9,1989,1,,,,,,,2,7000,,,
"0101050020412101","01010500204121","01010500204",1,3071.13232421875,2,1,1,5,2,4,121,1,1,3,,,,,,500,,,"N01",,,,,,
"0101050020414501","01010500204145","01010500204",1,3071.13232421875,1,1,1,5,2,4,145,1,1,3,,,,,,150,,4,"N01",,,,,,
"0101050020414501","01010500204145","01010500204",1,3071.13232421875,2,1,1,5,2,4,145,1,6,3,,,,,,6000,,1,"N01",,,,,,
"0101050020416901","01010500204169","01010500204",1,3071.13232421875,1,1,1,5,2,4,169,1,1,1,1,9,2000,1,,,,,,,2,1800,,,
"0101050020416901","01010500204169","01010500204",1,3071.13232421875,2,1,1,5,2,4,169,1,2,3,,,,,,1500,,1,"N01",,,,,,
"0101050020419301","01010500204193","01010500204",1,3071.13232421875,1,1,1,5,2,4,193,1,5,1,1,9,1985,1,,,,,,,1,,1,1800,
"0101050020419301","01010500204193","01010500204",1,3071.13232421875,2,1,1,5,2,4,193,1,1,1,1,10,1989,1,,,,,,,2,1500,,,
"0101050020419301","01010500204193","01010500204",1,3071.13232421875,3,1,1,5,2,4,193,1,3,1,1,9,1989,1,,,,,,,2,4000,,,
"0101050020421701","01010500204217","01010500204",1,3071.13232421875,1,1,1,5,2,4,217,1,9,2,2,,,,,,,,,,,8000,,,
"0101060040200201","01010600402002","01010600402",1,3720.59497070313,1,1,1,6,4,2,2,1,5,1,1,12,1990,1,,,,,,,2,500,,,
"0101060040200201","01010600402002","01010600402",1,3720.59497070313,2,1,1,6,4,2,2,1,1,1,1,12,1990,1,,,,,,,1,,1,200,200
"0101060040200201","01010600402002","01010600402",1,3720.59497070313,3,1,1,6,4,2,2,1,1,1,1,12,1990,1,,,,,,,2,600,,,
"0101060040202101","01010600402021","01010600402",1,3720.59497070313,1,1,1,6,4,2,21,1,3,1,1,7,1987,1,,,,,,,2,2000,,,
"0101060040202101","01010600402021","01010600402",1,3720.59497070313,2,1,1,6,4,2,21,1,4,1,1,7,1987,1,,,,,,,2,1000,,,
"0101060040202101","01010600402021","01010600402",1,3720.59497070313,3,1,1,6,4,2,21,1,1,3,,,,,,,200,1,"N01",,,,,,
"0101060040202101","01010600402021","01010600402",1,3720.59497070313,4,1,1,6,4,2,21,1,1,3,,,,,,,200,1,"N01",,,,,,
"0101060040203901","01010600402039","01010600402",1,3720.59497070313,1,1,1,6,4,2,39,1,3,2,2,,,,,,,,,,,1000,,,
"0101060040203901","01010600402039","01010600402",1,3720.59497070313,2,1,1,6,4,2,39,1,3,1,1,7,1988,1,,,,,,,2,1300,,,
"0101060040203901","01010600402039","01010600402",1,3720.59497070313,3,1,1,6,4,2,39,1,2,3,,,,,,,500,1,"N02",,,,,,
"0101060040203901","01010600402039","01010600402",1,3720.59497070313,4,1,1,6,4,2,39,1,1,3,,,,,,,700,1,"N02",,,,,,
"0101060040203901","01010600402039","01010600402",1,3720.59497070313,5,1,1,6,4,2,39,1,1,3,,,,,,,100,1,"N02",,,,,,
"0101060040203901","01010600402039","01010600402",1,3720.59497070313,6,1,1,6,4,2,39,1,1,3,,,,,,,450,1,"N02",,,,,,
"0101060040205701","01010600402057","01010600402",1,3720.59497070313,1,1,1,6,4,2,57,1,6,1,1,9,1984,1,,,,,,,2,8000,,,
"0101060040205701","01010600402057","01010600402",1,3720.59497070313,2,1,1,6,4,2,57,1,1,1,1,9,1984,1,,,,,,,2,900,,,
"0101060040205701","01010600402057","01010600402",1,3720.59497070313,3,1,1,6,4,2,57,1,2,1,1,9,1984,1,,,,,,,2,400,,,
"0101060040205701","01010600402057","01010600402",1,3720.59497070313,4,1,1,6,4,2,57,1,2,1,1,9,1984,1,,,,,,,2,550,,,
"0101060040207501","01010600402075","01010600402",1,3720.59497070313,1,1,1,6,4,2,75,1,7,1,1,9,1996,1,,,,,,,2,1500,,,
"0101060040207501","01010600402075","01010600402",1,3720.59497070313,2,1,1,6,4,2,75,1,1,1,1,9,1996,1,,,,,,,2,300,,,
"0101060040207501","01010600402075","01010600402",1,3720.59497070313,3,1,1,6,4,2,75,1,1,1,1,9,1996,1,,,,,,,1,,1,700,
"0101060040209401","01010600402094","01010600402",1,3720.59497070313,1,1,1,6,4,2,94,1,5,1,1,7,1988,1,,,,,,,1,,2,1000,
"0101060040211201","01010600402112","01010600402",1,3720.59497070313,1,1,1,6,4,2,112,1,3,1,1,9,1989,1,,,,,,,2,3000,,,
"0101060040211201","01010600402112","01010600402",1,3720.59497070313,2,1,1,6,4,2,112,1,1,1,1,9,1989,1,,,,,,,2,1000,,,
"0101060040211201","01010600402112","01010600402",1,3720.59497070313,3,1,1,6,4,2,112,1,1,1,1,9,1989,1,,,,,,,2,400,,,
"0101060040211201","01010600402112","01010600402",1,3720.59497070313,4,1,1,6,4,2,112,1,2,1,1,9,1989,1,,,,,,,2,700,,,
"0101060040213001","01010600402130","01010600402",1,3720.59497070313,1,1,1,6,4,2,130,1,8,1,1,8,1990,1,,,,,,,2,10000,,,
"0101060040213001","01010600402130","01010600402",1,3720.59497070313,2,1,1,6,4,2,130,1,2,1,1,8,1990,1,,,,,,,2,600,,,
"0101060040213001","01010600402130","01010600402",1,3720.59497070313,3,1,1,6,4,2,130,1,1,1,1,8,1990,1,,,,,,,2,500,,,
"0101060040213001","01010600402130","01010600402",1,3720.59497070313,4,1,1,6,4,2,130,1,1,3,,,,,,,400,1,"N02",,,,,,
"0101060040214801","01010600402148","01010600402",1,3720.59497070313,1,1,1,6,4,2,148,1,6,1,1,7,1988,1,,,,,,,2,3000,,,
"0101060040214801","01010600402148","01010600402",1,3720.59497070313,2,1,1,6,4,2,148,1,1,1,1,7,1988,1,,,,,,,2,720,,,
"0101060040214801","01010600402148","01010600402",1,3720.59497070313,3,1,1,6,4,2,148,1,1,1,1,7,1988,1,,,,,,,2,600,,,
"0101060040216701","01010600402167","01010600402",1,3720.59497070313,1,1,1,6,4,2,167,1,4,1,1,7,1984,1,,,,,,,2,1000,,,
"0102010020700201","01020100207002","01020100207",1,2697.60473632813,1,1,2,1,2,7,2,1,2,1,2,,,,,,,,,,2,1500,,,
"0102010020700201","01020100207002","01020100207",1,2697.60473632813,2,1,2,1,2,7,2,1,5,1,2,,,,,,,,,,2,800,,,
"0102010020700201","01020100207002","01020100207",1,2697.60473632813,3,1,2,1,2,7,2,1,1,1,2,,,,,,,,,,2,500,,,
"0102010020700201","01020100207002","01020100207",1,2697.60473632813,4,1,2,1,2,7,2,1,1,1,2,,,,,,,,,,2,600,,,
"0102010020700201","01020100207002","01020100207",1,2697.60473632813,5,1,2,1,2,7,2,1,1,1,2,,,,,,,,,,2,400,,,
"0102010020701201","01020100207012","01020100207",1,2697.60473632813,1,1,2,1,2,7,12,1,3,1,1,9,1997,1,,,,,,,2,1000,,,
"0102010020701701","01020100207017","01020100207",1,2697.60473632813,1,1,2,1,2,7,17,1,2,2,2,,,,,,,,,,2,700,,,
"0102010020701701","01020100207017","01020100207",1,2697.60473632813,2,1,2,1,2,7,17,1,1,3,,,,,,,1500,1,"N01",,2,1800,,,
"0102010020702701","01020100207027","01020100207",1,2697.60473632813,1,1,2,1,2,7,27,1,5,2,2,,,,,,,,,,2,1500,,,
"0102010020702701","01020100207027","01020100207",1,2697.60473632813,2,1,2,1,2,7,27,1,1,1,1,1,1991,1,,,,,,,2,1800,,,
"0102010020703201","01020100207032","01020100207",1,2697.60473632813,1,1,2,1,2,7,32,1,2,2,2,,,,,,,,,,2,120,,,
"0102010020703201","01020100207032","01020100207",1,2697.60473632813,2,1,2,1,2,7,32,1,1,3,,,,,,,600,1,"N01",,2,700,,,
"0102010020704701","01020100207047","01020100207",1,2697.60473632813,1,1,2,1,2,7,47,1,3,1,1,1,1991,1,,,,,,,2,1000,,,
"0102010020704701","01020100207047","01020100207",1,2697.60473632813,2,1,2,1,2,7,47,1,1,3,,,,,,,1000,1,"N01",,2,1100,,,
"0102010020704701","01020100207047","01020100207",1,2697.60473632813,3,1,2,1,2,7,47,1,1,3,,,,,,,1100,1,"N02",,2,1300,,,
"0102010020706201","01020100207062","01020100207",1,2697.60473632813,1,1,2,1,2,7,62,1,3,1,1,9,1997,1,,,,,,,2,1500,,,
"0102010020706201","01020100207062","01020100207",1,2697.60473632813,2,1,2,1,2,7,62,1,1,1,1,9,1997,1,,,,,,,2,2000,,,
"0102010020707701","01020100207077","01020100207",1,2697.60473632813,1,1,2,1,2,7,77,1,4,1,1,9,1997,1,,,,,,,2,1000,,,
"0102010020707701","01020100207077","01020100207",1,2697.60473632813,2,1,2,1,2,7,77,1,2,1,1,9,1997,1,,,,,,,2,1300,,,
"0102010020709201","01020100207092","01020100207",1,2697.60473632813,1,1,2,1,2,7,92,1,8,1,2,,,,,,,,,,2,3000,,,
"0102010020709201","01020100207092","01020100207",1,2697.60473632813,2,1,2,1,2,7,92,1,2,3,,,,,,,1500,1,"N01",,2,1700,,,
"0102010020709201","01020100207092","01020100207",1,2697.60473632813,3,1,2,1,2,7,92,1,2,3,,,,,,,1200,1,"N02",,2,1500,,,
"0102010020709201","01020100207092","01020100207",1,2697.60473632813,4,1,2,1,2,7,92,1,1,1,2,,,,,,,,,,2,1200,,,
"0102010020710701","01020100207107","01020100207",1,2697.60473632813,1,1,2,1,2,7,107,1,3,1,1,8,1999,1,,,,,,,2,1500,,,
"0102010020710701","01020100207107","01020100207",1,2697.60473632813,2,1,2,1,2,7,107,1,1,1,1,8,1997,2,,,,,,,2,1300,,,
"0102010020710701","01020100207107","01020100207",1,2697.60473632813,3,1,2,1,2,7,107,1,1,3,,,,,,,700,,"N01","N01",2,800,,,
"0102010020710701","01020100207107","01020100207",1,2697.60473632813,4,1,2,1,2,7,107,1,1,3,,,,,,,700,,"N01","N01",2,800,,,
"0102010020710701","01020100207107","01020100207",1,2697.60473632813,5,1,2,1,2,7,107,1,2,3,,,,,,,900,,"N01","N02",2,1000,,,
"0102010020712201","01020100207122","01020100207",1,2697.60473632813,1,1,2,1,2,7,122,1,3,2,2,,,,,,,,,,2,450,,,
