"holder_id","household_id","ea_id","rural","pw","parcel_id","field_id","saq01","saq02","saq03","saq04","saq05","saq06","pp_saq07","crop_name","crop_code","pp_s5q01","pp_s5q02","pp_s5q03","pp_s5q04_a","pp_s5q04_b","pp_s5q05_a","pp_s5q05_b","pp_s5q06","pp_s5q07","pp_s5q08","pp_s5q09","pp_s5q10","pp_s5q11","pp_s5q12_a","pp_s5q12_b","pp_s5q13","pp_s5q14_a","pp_s5q14_b","pp_s5q15_a","pp_s5q15_b","pp_s5q16","pp_s5q17","pp_s5q18_a","pp_s5q18_b","pp_s5q19_a","pp_s5q19_b"
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,1,4,1,1,1,16,1,116,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,1,500,1,500
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,2,1,1,1,1,16,1,116,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,5,440,5,440
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,2,2,1,1,1,16,1,116,1,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,4,810,4,810
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,3,1,1,1,1,16,1,116,1,"SESAME",27,1,3,2,,,,,,,,,,,,,2,,,,,,1,0,490,0,490
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,4,1,1,1,1,16,1,116,1,"SESAME",27,1,3,2,,,,,,,,,,,,,2,,,,,,1,2,0,2,0
"0101010160113101","01010101601131","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,131,1,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,7,500,7,500
"0101010160113101","01010101601131","01010101601",1,2236.13452148438,1,3,1,1,1,16,1,131,1,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,4,500,4,500
"0101010160113101","01010101601131","01010101601",1,2236.13452148438,2,4,1,1,1,16,1,131,1,"SESAME",27,1,3,2,,,,,,,,,,,,,2,,,,,,1,2,450,2,450
"0101010160113101","01010101601131","01010101601",1,2236.13452148438,3,1,1,1,1,16,1,131,1,"SORGHUM",6,2,3,1,"N01",,5,0,1,0,20,2,20,,"N01",,2,,,,,,2,,,5,0
"0101010160114601","01010101601146","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,146,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,0,750,0,750
"0101010160114601","01010101601146","01010101601",1,2236.13452148438,1,3,1,1,1,16,1,146,1,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,2,880,2,880
"0101010160114601","01010101601146","01010101601",1,2236.13452148438,1,4,1,1,1,16,1,146,1,"SESAME",27,1,3,2,,,,,,,,,,,,,2,,,,,,1,1,500,1,500
"0101010160114601","01010101601146","01010101601",1,2236.13452148438,1,5,1,1,1,16,1,146,1,"CINNAMON",35,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101010160114601","01010101601146","01010101601",1,2236.13452148438,1,6,1,1,1,16,1,146,1,"RED PEPPER",38,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,1,2,1,1,2,14,3,1,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,4,100,4,100
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,1,3,1,1,2,14,3,1,1,"RED PEPPER",38,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,1,4,1,1,2,14,3,1,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,6,40,6,40
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,1,5,1,1,2,14,3,1,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,3,280,3,280
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,2,1,1,1,2,14,3,1,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,15,500,15,500
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,2,2,1,1,2,14,3,1,1,"CHICK PEAS",11,1,3,2,,,,,,,,,,,,,2,,,,,,1,13,800,13,800
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,3,1,1,1,2,14,3,1,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,7,0,7,0
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,4,1,1,1,2,14,3,1,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,10,80,10,80
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,5,1,1,1,2,14,3,1,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,6,0,6,0
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,6,1,1,1,2,14,3,1,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,9,150,9,150
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,7,1,1,1,2,14,3,1,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,5,150,5,150
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,7,2,1,1,2,14,3,1,1,"CHICK PEAS",11,1,3,2,,,,,,,,,,,,,2,,,,,,1,4,800,4,800
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,8,1,1,1,2,14,3,1,1,"GESHO",75,1,3,2,,,,,,,,,,,,,2,,,,,,2,,,,
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,9,1,1,1,2,14,3,1,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,19,300,19,300
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,2,1,1,2,14,3,11,1,"MAIZE",2,1,2,2,,,,,,,,,,,,,2,,,,,,1,10,0,10,0
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,3,1,1,2,14,3,11,1,"RED PEPPER",38,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,4,1,1,2,14,3,11,1,"HORSE BEANS",13,1,3,2,,,,,,,,,,,,,2,,,,,,1,2,0,2,0
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,6,1,1,2,14,3,11,1,"MAIZE",2,1,2,2,,,,,,,,,,,,,2,,,,,,1,0,700,0,700
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,7,1,1,2,14,3,11,1,"LINESEED",23,1,3,2,,,,,,,,,,,,,2,,,,,,1,0,550,0,550
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,2,1,1,1,2,14,3,11,1,"TEFF",7,1,2,2,,,,,,,,,,,,,2,,,,,,1,11,800,11,800
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,2,2,1,1,2,14,3,11,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,5,500,5,500
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,2,1,1,2,14,3,16,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,23,40,23,4
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,3,1,1,2,14,3,16,1,"RED PEPPER",38,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,4,1,1,2,14,3,16,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,20,140,20,140
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,5,1,1,2,14,3,16,1,"TEFF",7,1,2,2,,,,,,,,,,,,,2,,,,,,1,15,300,15,300
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,2,1,1,1,2,14,3,16,1,"TEFF",7,1,2,2,,,,,,,,,,,,,2,,,,,,1,14,0,14,0
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,3,1,1,1,2,14,3,16,1,"TEFF",7,2,5,1,"N02",,17,0,1,0,0,2,1,186,"N02",,2,,,,,,1,,,17,0
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,3,2,1,1,2,14,3,16,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,14,180,14,180
"0101020140302601","01010201403026","01010201403",1,2607.7529296875,1,2,1,1,2,14,3,26,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,10,40,10,40
"0101020140302601","01010201403026","01010201403",1,2607.7529296875,1,3,1,1,2,14,3,26,1,"RED PEPPER",38,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101020140302601","01010201403026","01010201403",1,2607.7529296875,1,4,1,1,2,14,3,26,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,8,740,8,740
"0101020140302601","01010201403026","01010201403",1,2607.7529296875,1,5,1,1,2,14,3,26,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,6,100,6,100
"0101020140302601","01010201403026","01010201403",1,2607.7529296875,1,6,1,1,2,14,3,26,1,"HORSE BEANS",13,1,3,2,,,,,,,,,,,,,2,,,,,,1,4,50,4,50
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,1,2,1,1,2,14,3,31,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,20,150,20,150
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,1,3,1,1,2,14,3,31,1,"RED PEPPER",38,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,2,1,1,1,2,14,3,31,1,"TEFF",7,2,4,1,"N01",,30,0,5,0,0,2,400,400,"N01",,,,,,,,2,,,30,0
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,3,1,1,1,2,14,3,31,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,30,200,30,200
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,4,1,1,1,2,14,3,31,1,"TEFF",7,2,4,1,"N01",,15,0,5,0,0,2,200,200,"N01",,,,,,,,2,,,15,0
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,5,1,1,1,2,14,3,31,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,22,340,22,340
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,6,1,1,1,2,14,3,31,1,"MILLET",3,1,4,2,,,,,,,,,,,,,2,,,,,,1,10,150,10,150
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,2,1,1,2,14,3,46,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,0,700,9,840
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,3,1,1,2,14,3,46,1,"RED PEPPER",38,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,4,1,1,2,14,3,46,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,16,680,16,680
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,5,1,1,2,14,3,46,1,"BARLEY",1,1,3,2,,,,,,,,,,,,,2,,,,,,1,0,570,0,570
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,6,1,1,2,14,3,46,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,20,710,20,710
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,2,1,1,1,2,14,3,46,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,10,0,10,0
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,3,1,1,1,2,14,3,46,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,17,40,17,40
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,4,1,1,1,2,14,3,46,1,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,15,100,15,100
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,5,1,1,1,2,14,3,46,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,8,40,8,40
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,6,1,1,1,2,14,3,46,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,30,0,30,0
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,7,1,1,1,2,14,3,46,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,7,80,7,80
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,7,2,1,1,2,14,3,46,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,5,150,5,150
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,8,1,1,1,2,14,3,46,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,18,0,18,0
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,9,1,1,1,2,14,3,46,1,"CHICK PEAS",11,1,3,2,,,,,,,,,,,,,2,,,,,,1,4,500,4,500
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,9,2,1,1,2,14,3,46,1,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,7,100,7,100
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,2,1,1,2,14,3,61,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,30,140,30,140
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,3,1,1,2,14,3,61,1,"RED PEPPER",38,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,4,1,1,2,14,3,61,1,"BARLEY",1,1,3,2,,,,,,,,,,,,,2,,,,,,1,0,800,0,800
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,5,1,1,2,14,3,61,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,0,700,0,700
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,6,1,1,2,14,3,61,1,"BARLEY",1,1,3,2,,,,,,,,,,,,,2,,,,,,1,1,180,1,180
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,2,1,1,1,2,14,3,61,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,19,80,19,80
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,2,2,1,1,2,14,3,61,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,8,250,8,250
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,3,1,1,1,2,14,3,61,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,15,100,15,100
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,3,3,1,1,2,14,3,61,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,9,0,9,0
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,4,1,1,1,2,14,3,61,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,32,800,32,800
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,5,1,1,1,2,14,3,61,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,21,280,21,280
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,6,1,1,1,2,14,3,61,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,4,0,4,0
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,6,2,1,1,2,14,3,61,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,17,500,17,500
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,6,3,1,1,2,14,3,61,1,"HORSE BEANS",13,1,3,2,,,,,,,,,,,,,2,,,,,,1,1,300,1,300
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,7,1,1,1,2,14,3,61,1,"CHICK PEAS",11,1,3,2,,,,,,,,,,,,,2,,,,,,1,5,100,5,100
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,7,2,1,1,2,14,3,61,1,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,14,150,14,150
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,2,1,1,2,14,3,91,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,3,440,3,440
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,3,1,1,2,14,3,91,1,"RED PEPPER",38,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,4,1,1,2,14,3,91,1,"CHICK PEAS",11,1,3,2,,,,,,,,,,,,,2,,,,,,1,19,80,19,40
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,2,1,1,1,2,14,3,91,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,12,400,12,400
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,2,2,1,1,2,14,3,91,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,2,100,2,100
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,3,1,1,1,2,14,3,91,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,7,250,7,250
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,4,1,1,1,2,14,3,91,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,18,250,18,250
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,5,1,1,1,2,14,3,91,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,8,400,8,400
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,6,1,1,1,2,14,3,91,1,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,22,40,22,40
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,7,1,1,1,2,14,3,91,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,8,0,8,0
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,8,1,1,1,2,14,3,91,1,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,6,200,6,200
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,8,2,1,1,2,14,3,91,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,12,350,12,350
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,1,2,1,1,2,14,3,106,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,3,40,3,40
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,2,1,1,1,2,14,3,106,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,11,300,11,300
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,3,1,1,1,2,14,3,106,1,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,10,440,10,440
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,4,1,1,1,2,14,3,106,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,19,10,19,10
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,4,2,1,1,2,14,3,106,1,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,10,500,10,500
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,5,1,1,1,2,14,3,106,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,19,200,19,200
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,5,2,1,1,2,14,3,106,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,12,100,12,100
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,6,1,1,1,2,14,3,106,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,2,240,2,240
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,6,2,1,1,2,14,3,106,1,"RED PEPPER",38,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,7,1,1,1,2,14,3,106,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,3,100,3,100
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,8,1,1,1,2,14,3,106,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,11,340,11,340
"0101020140313601","01010201403136","01010201403",1,2607.7529296875,1,2,1,1,2,14,3,136,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,11,450,11,450
"0101020140313601","01010201403136","01010201403",1,2607.7529296875,1,3,1,1,2,14,3,136,1,"RED PEPPER",38,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101020140313601","01010201403136","01010201403",1,2607.7529296875,2,1,1,1,2,14,3,136,1,"TEFF",7,1,2,2,,,,,,,,,,,,,2,,,,,,1,23,740,23,740
"0101030010605201","01010300106052","01010300106",0,768.159851074219,1,2,1,1,3,1,6,52,1,"MAIZE",2,1,3,1,"N01",,0,25,1,0,1,1,,,,,2,,,,,,2,,,0,25
"0101030010605201","01010300106052","01010300106",0,768.159851074219,1,3,1,1,3,1,6,52,1,"PAPAYA",48,1,3,2,,,,,,,,,,,,,2,,,,,,2,,,,
"0101030010605201","01010300106052","01010300106",0,768.159851074219,1,4,1,1,3,1,6,52,1,"PAPAYA",48,1,3,2,,,,,,,,,,,,,2,,,,,,2,,,,
"0101030010605201","01010300106052","01010300106",0,768.159851074219,1,5,1,1,3,1,6,52,1,"PAPAYA",48,1,3,2,,,,,,,,,,,,,2,,,,,,2,,,,
"0101030010607601","01010300106076","01010300106",0,768.159851074219,1,2,1,1,3,1,6,76,1,"PEACH",66,1,3,2,,,,,,,,,,,,,2,,,,,,2,,,,
"0101030010613601","01010300106136","01010300106",0,768.159851074219,1,2,1,1,3,1,6,136,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,1,50,1,50
